email,username_x,age_x,location_x,interest_x,date_of_login_x,date_of_logout_x,followers_x,following_x,username_y,age_y,location_y,interest_y,date_of_login_y,date_of_logout_y,followers_y,following_y,username_z,age_z,location_z,interest_z,date_of_login_x.1,date_of_logout_z,followers_z,following_z,target
aadams@hotmail.com,,,,,,,,,,,,,,,,,jonesmark,51.0,Delhi,Politics,2/26/2022,,606.0,140.0,0
aadams@yahoo.com,victoriawinters3586,24.0,USA,Sports,1/17/2017,12/23/2021,403.0,26.0,clarkangela8372,24.0,USA,Art,8/16/2020,,322.0,105.0,,,,,,,,,0
aalvarez@gmail.com,,,,,,,,,tracie399777,31.0,USA,Gaming,7/8/2023,10/11/2024,558.0,374.0,,,,,,,,,0
aanderson@bruce-blevins.net,,,,,,,,,,,,,,,,,nwalters,64.0,Chennai,Art,8/4/2023,,891.0,2456.0,0
aanderson@gmail.com,,,,,,,,,,,,,,,,,taylornguyen,35.0,Bangalore,Art,8/17/2015,,1531.0,716.0,0
aaron01@gmail.com,melaniestevens3817,25.0,Germany,Politics,9/10/2018,,418.0,45.0,raymond029059,25.0,Germany,Education,2/23/2020,,1417.0,741.0,,,,,,,,,0
aaron04@gmail.com,ztravis1000,25.0,Japan,News,9/25/2020,,272.0,68.0,mercercatherine9724,25.0,Japan,Gaming,4/18/2020,,1162.0,741.0,mtrevino,47.0,Kolkata,Politics,1/17/2016,,1420.0,169.0,0
aaron04@hotmail.com,riley00119,34.0,Germany,Food,2/8/2013,,382.0,84.0,,,,,,,,,,,,,,,,,0
aaron06@yahoo.com,jasonwelch3047,45.0,UK,News,1/19/2018,,518.0,100.0,summerseric5831,45.0,UK,Food,12/21/2020,3/18/2021,280.0,96.0,,,,,,,,,0
aaron22@hanson.com,erinmoore9076,21.0,India,Tech,5/2/2021,5/29/2025,10.0,2.0,,,,,,,,,,,,,,,,,0
aaron26@carter.com,,,,,,,,,andradenicole6002,30.0,UK,Art,3/29/2018,,1195.0,972.0,,,,,,,,,0
aaron29@yahoo.com,,,,,,,,,,,,,,,,,kellyshannon,57.0,Jaipur,Politics,8/24/2023,4/9/2029,1176.0,2302.0,0
aaron37@clark-mercado.info,,,,,,,,,,,,,,,,,gfischer,26.0,Kolkata,Sports,10/14/2017,,1655.0,1035.0,0
aaron63@cochran.com,,,,,,,,,,,,,,,,,tracy50,43.0,Bangalore,Technology,5/23/2023,,923.0,1121.0,0
aaron66@johnson.com,,,,,,,,,,,,,,,,,xwalters,30.0,Mumbai,Sports,1/18/2018,,776.0,1544.0,0
aaron74@patterson.net,johnweaver7487,19.0,Mexico,Gaming,1/13/2022,,327.0,21.0,loriharris968,19.0,Mexico,Fashion,8/16/2018,,179.0,147.0,,,,,,,,,0
aaron86@yahoo.com,,,,,,,,,gibsonelizabeth3259,39.0,Germany,Food,4/21/2022,,511.0,588.0,,,,,,,,,0
aaron95@reed.org,,,,,,,,,,,,,,,,,marshmelissa,28.0,Pune,Education,3/15/2020,,1112.0,338.0,0
aaron96@douglas-hughes.info,,,,,,,,,reedandrew786,57.0,Japan,Photography,8/16/2022,1/15/2025,820.0,292.0,,,,,,,,,0
aaronavery@taylor.info,kevinthomas6403,41.0,Turkey,Tech,9/8/2015,,104.0,14.0,,,,,,,,,,,,,,,,,0
aaronbarnett@frost-grant.net,,,,,,,,,thomascarpenter267,31.0,Japan,Fashion,6/6/2023,,607.0,206.0,,,,,,,,,0
aaroncarter@hotmail.com,fishernicholas3985,25.0,Japan,Travel,12/27/2012,9/27/2014,499.0,174.0,,,,,,,,,,,,,,,,,0
aaroncollins@gmail.com,,,,,,,,,tperez9203,25.0,Japan,Education,6/4/2024,8/20/2026,1192.0,785.0,,,,,,,,,0
aaroncontreras@hotmail.com,,,,,,,,,,,,,,,,,hudsontim,21.0,Chennai,Art,8/24/2021,,978.0,337.0,0
aarondavies@hughes.org,,,,,,,,,,,,,,,,,walkertiffany,61.0,Hyderabad,Education,12/16/2024,3/25/2030,709.0,584.0,0
aaronfisher@harrington.com,james581679,48.0,Brazil,Health & Wellness,4/26/2022,,367.0,5.0,,,,,,,,,,,,,,,,,0
aaronhunter@calderon.net,rconrad2384,28.0,Germany,Family,3/16/2013,11/28/2016,406.0,85.0,david423040,28.0,Germany,Fashion,10/10/2021,,2024.0,1896.0,,,,,,,,,0
